phase,topup_round,t_within_phase,amplitude_deg,duration_ms,peak_velocity
baseline,4,272.42639,8.494424311736557,23.199999999974352,366.1389789545667
baseline,4,272.45899000000003,6.689052236644388,22.799999999961074,385.95501915794875
baseline,4,273.89209,5.217357949854931,21.900000000016462,322.24870471042686
baseline,4,274.24859000000004,31.944151959834286,76.39999999997826,1120.2105183141518
baseline,4,275.12459,9.87196892669946,33.90000000001692,600.2905286477009
baseline,4,275.33579000000003,5.6584473526094605,22.499999999979536,567.2309254041952
baseline,4,275.83899,17.332446534605882,52.500000000009095,386.63037217990774
baseline,4,276.31869,3.6439403310209713,27.699999999981628,131.550192455718
baseline,4,277.11339000000004,3.092757078951898,21.49999999994634,181.0025020685216
baseline,4,278.22439,6.906392792581647,21.299999999996544,467.62792617903324
baseline,4,278.25669,3.6588866183398387,23.90000000002601,621.1742062028369
baseline,4,279.25209,6.047575317621639,37.599999999997635,353.93720782753746
baseline,4,279.89429,15.888715760791316,40.70000000001528,395.2803679253107
baseline,4,280.59029000000004,11.027759083817266,21.69999999995298,821.7712862891618
baseline,4,281.26669000000004,7.990674707273221,21.89999999995962,481.0562287618172
baseline,4,282.15529000000004,19.788986380410176,50.09999999998627,394.98974811208785
baseline,4,282.94349,8.659965972797442,110.9000000000151,380.7668731946818
baseline,4,283.13289000000003,8.835480529239275,21.59999999997808,580.6482485783997
baseline,4,283.35589,3.9990073465907336,21.100000000046748,303.5181521608162
baseline,4,283.45469,2.4519364321070967,22.40000000000464,863.2058738663728
baseline,4,283.54319000000004,5.546858733694631,24.499999999989086,349.3044311127968
baseline,4,284.45399000000003,2.462924364721262,22.899999999992815,419.4259503701672
baseline,4,284.65519,7.475367299069434,32.199999999988904,288.28380082212215
baseline,4,285.23539,7.933662044708019,74.50000000000045,128.95088998751947
baseline,4,285.97579,17.359987002765322,56.89999999998463,305.0964323861162
baseline,4,286.08089,5.784428936403723,27.899999999988268,269.1205789880396
baseline,4,286.86509,2.7031219192402958,21.200000000021646,155.0748676798058
baseline,4,287.35419,9.856373558867796,32.300000000020646,354.55171872808904
baseline,4,287.44169,6.63481191941065,33.60000000003538,351.6057617594018
baseline,4,289.58539,11.209072952815127,33.00000000001546,426.03534364013717
baseline,4,289.91849,2.4410294865455313,22.40000000000464,122.61488386162223
baseline,4,289.95239000000004,20.042248697905983,57.399999999972806,903.0651818267901
baseline,4,290.39599000000004,2.937138878865106,33.699999999953434,426.4178158529461
baseline,4,292.12879000000004,4.225359402651737,33.19999999996526,475.9087909046533
baseline,4,292.36179,23.362770293669296,66.90000000003238,700.7912813265707
baseline,4,292.68189,9.794350626294243,36.49999999998954,531.9114379740956
baseline,5,319.81299,5.609350497666403,22.299999999972897,257.24189016944234
baseline,5,321.57949,4.3667451076805115,155.69999999996753,160.05992841016493
baseline,5,322.06779,11.561511458579561,55.4000000000201,379.25100772978885
baseline,5,322.63779,17.641151143454252,44.399999999996,592.6930746005055
baseline,5,322.88999,2.7654909498444957,22.1000000000231,153.17497990917727
baseline,5,323.05609000000004,2.892199949133092,22.199999999998,133.00423429541155
baseline,5,323.13379000000003,5.940476943699684,33.599999999978536,321.7517797390689
baseline,5,323.36689,2.0391470540489305,21.99999999999136,283.92931021315303
baseline,5,323.60289,8.382010865296035,41.600000000016735,625.663608198258
baseline,5,325.19039000000004,6.976666995547425,20.19999999998845,364.42001994804235
baseline,5,325.42379,3.4564089323078964,22.70000000004302,152.2647106740681
baseline,5,325.61079,9.478608138845361,32.60000000000218,298.35751841403334
baseline,5,325.83269,2.0742864056257666,21.99999999999136,94.28574571029915
baseline,5,328.83219,11.4411623464166,32.60000000000218,870.1870480568006
baseline,5,328.94369,6.441035797067963,54.00000000003047,211.8251117636479
baseline,5,330.16409,4.396483664477568,588.5000000000105,620.3162330361142
baseline,5,332.06519000000003,14.811201282498148,53.29999999997881,363.50334979559017
baseline,5,332.89109,4.356336570517383,150.80000000000382,251.50436229583352
baseline,5,335.06229,134.51268651848937,47.79999999999518,5107.083654670677
baseline,5,335.70879,138.17816236583025,86.29999999999427,1601.1374549923455
baseline,5,337.04989,5.020833703214109,39.400000000000546,296.88116063171304
baseline,5,337.74949000000004,12.76817431783022,101.99999999997544,340.1519157124178
baseline,5,340.04839000000004,6.760549825586719,33.499999999946795,372.4914526205828
baseline,5,340.60459000000003,4.474034605757975,99.40000000000282,461.9617303380933
baseline,5,341.32609,15.955606662698806,33.09999999999036,627.4392481297522
baseline,5,342.69229,4.327805959945087,121.50000000002592,230.03157373087927
baseline,5,343.74739,7.022626803803274,21.900000000016462,386.88518079668756
baseline,5,344.05819,10.273487914917197,44.499999999970896,344.1311918932584
baseline,5,344.96239,11.868167025289258,106.09999999996944,119.69786770644251
baseline,5,345.57729,8.261905184041604,28.300000000001546,291.9401125102881
baseline,5,345.98069000000004,141.14521074995693,42.99999999994952,6070.82103442893
baseline,5,346.19039000000004,3.05602992069198,33.50000000000364,2768.102449331847
baseline,5,346.35719,11.498015636094317,55.20000000001346,314.16925800433796
baseline,5,346.66809,9.59925055507219,22.499999999979536,426.63335800359647
baseline,5,346.86839000000003,13.316647578273667,44.60000000000264,745.8037120400664
baseline,5,346.95709,3.681942375650653,21.900000000016462,214.8516160215254
baseline,5,347.47939,5.0115887086356885,21.59999999997808,247.40664559366445
baseline,5,349.16689,3.70180103882006,22.299999999972897,592.3474517803947
baseline,5,349.32299,2.631991707850382,88.99999999999864,195.19123713792533
baseline,6,379.37969000000004,3.5458830318355075,36.2999999999829,147.9301085930064
baseline,6,380.12409,6.250509431977494,33.19999999996526,250.95195041574766
baseline,6,381.49059,8.565029707573842,66.20000000003756,297.40687330218907
baseline,6,381.78939,9.468646760957483,44.399999999996,776.3202133252747
baseline,6,382.91129,2.4658373678427115,22.30000000002974,406.56671542914387
baseline,6,383.02259000000004,3.8690149448094378,22.899999999992815,196.0800482538252
baseline,6,383.12569,10.729396780857984,29.999999999972715,501.4305464738483
baseline,6,383.75569,5.5637557813776155,59.30000000000746,978.2645008299838
baseline,6,385.11059,9.88795981843809,33.09999999999036,319.8693681691129
baseline,6,385.32179,9.08710911536226,33.299999999997,2276.5909176197006
baseline,6,385.42159000000004,7.282872110676529,44.399999999996,273.77963223013194
baseline,6,386.32239,13.370851121204055,40.90000000002192,768.1203503021375
baseline,6,387.46569,133.33108339562716,99.40000000000282,4220.256266906195
baseline,6,388.13169,8.320785427337507,33.90000000001692,270.2434490113784
baseline,6,389.18669,21.25478939721504,66.00000000003092,1505.8207752752264
baseline,6,389.45289,10.037692455232825,33.19999999996526,302.3401341940762
baseline,6,389.73079,6.093866384847239,44.399999999996,137.2492429019772
baseline,6,390.70869,5.228693075741041,21.400000000028285,340.1170259277476
baseline,6,391.04689,5.1798235487013855,27.40000000000009,318.76391954294076
baseline,6,391.84109,7.233000634415462,21.99999999999136,363.7893076114126
baseline,6,391.87429000000003,6.263356847033469,44.399999999996,225.5790455728086
baseline,6,392.52979,8.903145934085739,33.2000000000221,268.1670462072233
baseline,6,393.97329,3.2037247409210017,88.8999999999669,238.86930993086662
baseline,6,395.75099,7.358932837942097,310.100000000034,361.0306526169856
baseline,6,396.77219,6.7532418086715715,22.299999999972897,342.8116345791121
baseline,6,398.36019,13.604661402544245,55.70000000000164,347.7455871595739
baseline,6,398.74969,12.137033235511272,121.30000000001928,234.2804018423713
baseline,6,400.97039,125.50997965687678,55.499999999995,6057.827937232698
baseline,6,401.22559,13.200174010659618,55.999999999983174,333.23380570713437
baseline,6,402.91389000000004,16.816547658092766,44.09999999995762,1299.2091935050357
baseline,6,403.83649,11.588996450322005,65.79999999996744,404.92459664608316
baseline,6,404.02489,2.2520280894424314,21.99999999999136,214.25151696712368
baseline,6,404.07459,11.497976755671283,27.80000000001337,598.342609022309
baseline,6,405.89029,7.6350097482271515,33.80000000004202,341.7179251031695
baseline,6,406.07939,10.17515122275874,66.4000000000442,303.947952716653
baseline,6,406.33509000000004,8.158365465013242,66.09999999994898,370.6001223971316
baseline,6,406.54659000000004,12.368586694720587,99.19999999999618,532.6414801416981
baseline,6,406.95759000000004,11.075428551212802,33.19999999996526,565.9343749569663
baseline,6,407.87899,9.24907877790829,89.40000000001191,297.57699693085675
baseline,6,408.11289,4.801263910855239,21.200000000021646,226.47471277595926
baseline,6,408.89089,11.069932494789981,31.60000000002583,721.975170847928
baseline,7,445.00039000000004,136.6728108029215,44.699999999977535,5714.5145689087485
baseline,7,445.35629,9.894179884903531,23.59999999998763,812.0768118773141
baseline,7,446.05529,4.553609023633795,23.700000000019372,192.13540184093137
baseline,7,446.32049,19.76462665924604,34.80000000001837,778.8543531052838
baseline,7,446.61109,4.121657044705915,147.30000000002974,197.15351356031252
baseline,7,447.57729,15.039657961690592,55.20000000001346,601.5587129785235
baseline,7,447.87679,3.137464472372054,22.099999999966258,141.96671820709702
baseline,7,449.53489,18.855654789788417,41.400000000010095,455.45059878704876
baseline,7,450.35329,16.451029102449958,56.199999999989814,355.37157319277804
baseline,7,451.21769,31.19887988944538,80.10000000001583,12274.120596585211
baseline,7,451.47549,4.059608469783851,44.80000000000928,262.5756457246634
baseline,7,451.65299,8.043312475478473,55.60000000002674,839.7871275034951
baseline,7,453.68559,13.511269480087723,44.100000000071304,576.5346255502578
baseline,7,453.96309,4.598668665107526,22.1000000000231,221.24348908742007
baseline,7,454.18499,6.217884310493618,24.800000000027467,295.2961968058074
baseline,7,454.24079,4.214109427208456,22.000000000048203,252.37413955813423
baseline,7,455.00719,5.4842525207026185,33.599999999978536,208.3765781498921
baseline,7,456.32968999999997,5.1237462133938605,21.299999999996544,274.32169520978215
baseline,7,457.76219,117.79822819543737,23.800000000051114,4949.505386352285
baseline,7,458.82469,4.434186303991248,170.70000000001073,1240.24193744552
baseline,7,462.59409,7.68206067667794,20.800000000008367,369.3298402247524
baseline,7,463.57049,2.8303627382350207,27.000000000043656,13959.308695604162
baseline,7,464.49179,17.456324010960657,93.79999999998745,335.6138809427433
baseline,7,464.83249000000006,12.43246944747721,148.29999999994925,148.0347522142582
baseline,7,467.00189000000006,14.293591021398328,66.599999999994,373.1077150096164
baseline,7,467.27949000000007,12.193027699016522,55.70000000000164,519.4147864423217
baseline,7,467.43748999999997,4.247860551193327,35.799999999994725,118.65532265904896
baseline,7,468.18369,22.479716108572816,40.2000000000271,1242.8135115059406
baseline,7,468.42559,136.52075389453987,31.29999999998745,15168.972654924348
baseline,7,468.50129,3.649322155832163,44.399999999996,9613.339848837915
baseline,7,468.57909,2.017573203804613,22.1000000000231,397.27803164649447
baseline,7,468.93459,116.72196012853036,44.499999999970896,12718.651835614388
baseline,7,469.13459000000006,6.54503729063135,22.699999999986176,419.2589358987159
baseline,7,469.23979,2.9234315631292738,27.699999999981628,431.63391692465206
baseline,7,469.82349000000005,7.88057912138191,21.700000000009823,570.9360965785403
baseline,7,469.87939,3.6347065997844403,21.399999999971442,507.21268153085396
baseline,7,471.67769000000004,2.217257163426698,22.699999999986176,189.6961352141301
baseline,8,505.31899000000004,30.493275194189312,100.39999999992233,664.6389544164532
baseline,8,506.20809,4.549840117690366,21.79999999998472,208.70826227952085
baseline,8,507.12429000000003,13.68183802635518,49.80000000000473,492.65984396958214
baseline,8,507.65169,4.228429745210478,34.300000000030195,731.233972889263
